"Source:","C:\Users\Bkb61\OneDrive\Documents\School_Work\Capstone\ChargeController\ChargeController_Main\ChargeController_Main.kicad_sch"
"Date:","2/14/2024 12:39:02 PM"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","56"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"27","1","PS1","TPS61170DRVR","Main_Charge_Controller_Symbols:TPS61170DRVR","ChargeController_Main_Library:SON65P200X200X80-7N","http://www.ti.com/lit/gpn/tps61170","","TPS61170DRVR","https://www.arrow.com/en/products/tps61170drvr/texas-instruments?region=nac","0.8","Texas Instruments","TPS61170DRVR","595-TPS61170DRVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS61170DRVR?qs=pZC5fsuWujFeUvvbhM8Aeg%3D%3D"
"28","1","Q1","SI7272DP-T1-GE3","Main_Charge_Controller_Symbols:SI7272DP-T1-GE3","ChargeController_Main_Library:SI7288DPT1GE3","https://www.vishay.com/docs/69026/si7272dp.pdf","","SI7272DP-T1-GE3","https://www.arrow.com/en/products/si7272dp-t1-ge3/vishay","","Vishay","SI7272DP-T1-GE3","781-SI7272DP-GE3","https://www.mouser.com/Search/Refine.aspx?Keyword=781-SI7272DP-GE3"
"29","6","R1, R9, R13, R15, R17, R19","10k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical","~","","","","","","","",""
"30","1","R2","14k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","",""
"31","1","R5","2M","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","",""
"32","1","R6","100k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical","~","","","","","","","",""
"33","1","R7","3.6k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical","~","","","","","","","",""
"34","1","R8","30k","Device:R","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","","","","","","",""
"35","1","R10","620k","Device:R","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","","","","","","",""
"36","1","R11","76.8k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical","~","","","","","","","",""
"37","1","R12","33k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical","~","","","","","","","",""
"38","1","R14","140k","Device:R","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","","","","","","",""
"39","1","R16","17k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical","~","","","","","","","",""
"40","1","R18","120k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","",""
